Category Id,Sub Category Id,Sub Sub Category Id,Title,Heading,SKU,Deal of the day,Quantity,Price,Discount Price,Special Price,Color,Size,Material,Department,Style,Fitment Type,Image,Alt Tag,Image-1,Alt Tag-1,Image-2,Alt Tag-2,Image-3,Alt Tag-3,Image-4,Alt Tag-4,Image-5,Alt Tag-5,Image-6,Alt Tag-6,Image-7,Alt Tag-7,Image-8,Alt Tag-8,Short Description,Overview,Specification,Care Instructions,Questions,Meta Title,Meta Keyword,Meta Description
1,1,1,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White for Honda Amaze,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White,WhiteAntenna-HondaAmaze,2,5,599,319,,White,M,ABS Plastic,Unisex,Car Antenna,Universal,WhiteAntenna-HondaAmaze_1.jpg,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White for Honda Amaze,WhiteAntenna-HondaAmaze_2.jpg,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White for Honda Amaze,WhiteAntenna-HondaAmaze_3.jpg,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White for Honda Amaze,WhiteAntenna-HondaAmaze_4.jpg,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White for Honda Amaze,WhiteAntenna-HondaAmaze_5.jpg,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White for Honda Amaze,WhiteAntenna-HondaAmaze_6.jpg,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White for Honda Amaze,WhiteAntenna-HondaAmaze_7.jpg,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White for Honda Amaze,WhiteAntenna-HondaAmaze_8.jpg,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White for Honda Amaze,,,"<ul>
<li>Professional Installation required</li>
<li>Fitment: Honda Amaze, It can reduce the static electricity of the car body by discharging and, thus, reduce the adhesion of dirt to the car body.</li>
<li>Easy stick during installation / No drilling required, just clean and dry the car, stick fin on the surface</li>
<li>Made of ABS plastic, this is a shark fin antenna with FM / AM patch cable inside, make your car cool</li>
<li>Can easily stick to the top of the car or trunk. Durable double glue for securely attaching the antenna to the roof</li>
</ul>","<p>This white shark style working antenna is perfect for your Honda Amaze. 100% brand new and high quality material. Features: it can achieve the purpose of decoration, as well as FM antenna, let your car more brilliant. It's time to replace the shark fin antenna for your car now! Easy installation / no drilling required. Make your car cool and original. The design is stunning, sleek and modern. Durable, classic, comfortable and beautiful. Style: shark fin, package including: 1x White shark fin antenna for car.</p>","<ul>
<li>Color: White</li>
<li>Material: ABS Plastic</li>
</ul>",,,Ramanta Car Shark Fin Roof Antenna Car Antenna Radio FM/AM Car Accessories Decorate White,shark antenna shark antenna for car car antenna radio fm radio antenna for car car am fm antenna shark fin antenna shark fin antenna silver shark fin antenna silver shark fin antenna silver,"This white shark style working antenna is perfect for your Honda Amaze. 100% brand new and high quality material. Features: it can achieve the purpose of decoration, as well as FM antenna, let your car more brilliant."
1,1,2,Ramanta Red Reflective Petrol Inside Decal Car Fuel Cap Sticker for Tata Nexon (Size: 12.5cm),Ramanta 12.5 cm Red Reflective Petrol Inside Decal Car Fuel Cap Sticker,RedPetrol-12.5,1,5,499,199,179,Red,12.5 CM,Vinyl,Unisex,Sticker,Universal,RedPetrol-12.5.jpg,Ramanta Red Reflective Petrol Inside Decal Car Fuel Cap Sticker for Tata Nexon (Size: 12.5cm),,,,,,,,,,,,,,,,,"<ul>
<li>Compatible Vehicle Model: for Tata Nexon | No Color Fade, Long Lasting; Water Proof; Good quality; Easy to use; Long lasting</li>
<li>Size: CIRCLE: 12.5 cm (approx) | Color: Red | Avoid Rash Drivers | Sticker adds safety as it is visible from a long distance even in the dark.</li>
<li>The decal can be removed whenever you would like. The Background will be the whatever surface you put on. The white area of picture is what the actual decal will be. There is no background MATERIAL IS SOFT RUBBER. | Installs easily in just minutes, no tools needed.</li>
<li>Usage Instructions: Clean the Surface where you want to apply it. Than remove the back paper. Apply the sticker and press with a plastic card. Remove the front transparent layer. Legal Disclaimer: The color of the product may slightly vary from the image due to lighting's and flashes used in photography.</li>
<li>Highly Reflective Material Nice and Unique Looks | Made of High Quality Material, Waterproof, Fade-Resistant, Self-Adhesive and Easily to use.</li>
</ul>","<p>CIRCLE Size: 12.5 cm (approx) Highly Reflective Material Nice and Unique Looks Made of high quality material Waterproof, Fade-resistant, self-adhesive Easily to use. Strong visual impact. Easy cleaning & maintenance. Avoid Rash Drivers. Sticker adds safety as it is visible from a long distance even in the dark. Easy to Install, just peel and stick. Exterior Sticker. Color - Red and Black. The decal can be removed whenever you would like. The Background will be the whatever surface you put on. There is no background | MATERIAL IS SOFT RUBBER.</p>","<ul>
<li>CIRCLE Size: 12.5 cm (approx)</li>
<li>Color: Red and Black</li>
<li>Material: SOFT RUBBER</li>
</ul>",,,Ramanta Red Reflective Petrol Inside Decal Car Fuel Cap Sticker for Tata Nexon (Size: 12.5cm),car decal stickers car decals & stickers modifying vinyl decal stickers for car car decals & stickers,"CIRCLE Size: 12.5 cm (approx) Highly Reflective Material Nice and Unique Looks Made of high quality material Waterproof, Fade-resistant, self-adhesive Easily to use. Strong visual impact. Easy cleaning & maintenance."
1,1,2,Ramanta® Reflective Blue Petrol Inside Decal/Sticker Car Fuel Lid for Maruti Baleno (Sticker Size: 10cm X 10cm) (Pack of 1),Ramanta® 10 cm Reflective Blue Petrol Inside Decal/Sticker Car Fuel Lid,BluePetrol-10,1,5,499,219,199,Blue,10 CM,Vinyl,Unisex,Sticker,Universal,BluePetrol-10.jpg,Ramanta® Reflective Blue Petrol Inside Decal/Sticker Car Fuel Lid for Maruti Baleno (Sticker Size: 10cm X 10cm) (Pack of 1),,,,,,,,,,,,,,,,,"<ul>
<li>Note: Actual Product color may slightly differ from the image shown in the picture.</li>
<li>Suitable for: Car, Truck | Highly Reflective Material Nice and Unique Looks.</li>
<li>Made of high quality material Waterproof, Fade-resistant, self-adhesive Easily to use. Avoid Rash Drivers.</li>
<li>Sticker adds safety as it is visible from a long distance even in the dark. The decal can be removed whenever you would like.</li>
<li>The Background will be the whatever surface you put on. The white area of picture is what the actual decal will be. There is no background MATERIAL IS SOFT RUBBER</li>
</ul>","<p>Owning a car is not just about driving from one place to another, it is an extension of your personality. A car accessory can be an add on feature for improving convenience and styling of your car.</p>
<p>It is our job as owner of the car to add the right accessories for it to look the way we want. To maximize our fun, frolic and safety, we need to add the required accessories for smartening up the vehicle and keeping it in mint form.</p>
<p>Ramanta presents Reflective Blue Petrol Decal/Sticker for your car's fuel lid that is made of highly reflective material and looks great on your car. The reflective property ensures visibility from a long distance even in the dark avoiding confusion.</p>
<p>Note: Actual Product color may slightly differ from the image shown in the picture</p>","<ul>
<li>Size: 10 x 10 cm</li>
<li>Material: SOFT RUBBER</li>
<li>Suitable for: Car, Truck</li>
<li>Color: Blue</li>
</ul>",,,Ramanta® Reflective Blue Petrol Inside Decal/Sticker Car Fuel Lid for Maruti Baleno (Sticker Size: 10cm X 10cm) (Pack of 1),petrol sticker petrol sticker for car petrol sticker for car fuel lid petrol sticker for car fuel lid 3d petrol sticker car petrol sticker grey grand i10 petrol sticker blue petrol sticker,"Owning a car is not just about driving from one place to another, it is an extension of your personality. A car accessory can be an add on feature for improving convenience and styling of your car."
1,1,4,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,Ramanta® 5M Ice Blue EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light,IBELWire,1,5,999,699,599,Ice Blue,5M,ABS Plastic,Unisex,El Wire,Universal,IBELWire.jpg,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,IBELWire_1.jpg,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,IBELWire_2.jpg,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,IBELWire_3.jpg,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,IBELWire_4.jpg,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,IBELWire_5.jpg,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,IBELWire_6.jpg,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,IBELWire_7.jpg,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,,,"<ul>
<li>Compatibility: for Maruti Vitara Brezza | Available colors: blue, ice blue, purple, white, red, light green and yellow | Placement by car: left, right, front, rear. More suitable for use in the car, flat tour, party, camping, bar decoration, dance stage, etc.</li>
<li>Energy saving. Its low power consumption. This will help improve visual resolution, increase efficiency, reduce fatigue during continuous work, and protect eyesight.</li>
<li>Can be bent to any shape, flexible and waterproof, fixed to the car with double sided tape or glue.</li>
<li>Works with a 12V cigarette lighter socket, just plug in or need to be connected to the El Wire Inverter for use.</li>
<li>Material: ABS plastic and PVC | Color: ice blue | Length: 5 meters | Package: 1 pc</li>
</ul>","<p>This automotive el wire light strip is suitable for Maruti Vitara Brezza. Light can be installed on the car using double-sided tape or glue. LED type: cold LED strip. 180 degrees to adjust. Direct insertion into the cigarette lighter for use. Suitable for all cars with 12 V DC. Soft light does not harm the eye, Safety is waterproof without radiation, Electricity consumption is less environmentally friendly, Length can be easily reduced to install smart. Package includes 1x 5 meter ICE Blue EL Wire Strip and 1x cigarette lighter. Available colors: blue, ice blue, purple white and yellow.</p>","<ul>
<li>Color: Ice Blue</li>
<li>Size: 5M</li>
<li>Material: ABS plastic and PVC</li>
<li>Compatibility: Universal</li>
<li>",,,Ramanta® 5M EL Wire Flash Rope Tube Cable LED Strip Flexible Neon Lamp Glow String Light for Maruti Vitara Brezza - Ice Blue,el wire for car white el wire for car car el wire 5m el wire for car white el wire for car white el car wire el wire white white el wire wl wire with controller 12v el wire white 12v el wire car 12v el wire el wire 5 meter with adapter white,"This automotive el wire light strip is suitable for Maruti Vitara Brezza. Light can be installed on the car using double-sided tape or glue. LED type: cold LED strip. 180 degrees to adjust. Direct insertion into the cigarette lighter for use. Suitable for all cars with 12 V DC. Soft light does not harm the eye, Safety is waterproof without radiation, Electricity consumption is less environmentally friendly, Length can be easily reduced to install smart. Package includes 1x 5 meter ICE Blue EL Wire Strip and 1x cigarette lighter. Available colors: blue, ice blue, purple white and yellow."
